code_station,libelle_station,date_prelevement,code_parametre,libelle_parametre,resultat,symbole_unite,longitude,latitude
05157361,Le ruisseau du Tricou au niveau de Labège,2021-01-20,1350,Phosphore total,0.06,mg(P)/L,1.527200635,43.53140827
05157400,Le ruisseau des Rosiers au niveau de Deyme,2021-01-20,1350,Phosphore total,0.03,mg(P)/L,1.547652354,43.492000071
05157595,L'Hers Mort à Baziège (aval conf Rau Visenc),2021-01-20,1303,Conductivité à 25°C,711.0,µS/cm,1.62361137,43.442601011
05163910,Le Cossignol à Corronsac,2021-01-21,1301,Température de l'Eau,9.0,°C,1.49972711,43.470921033
05157568,Le ruisseau d'Amadou au niveau d'Ayguesvives,2021-01-21,1340,Nitrates,30.0,mg(NO3)/L,1.599996657,43.441218713
05157568,Le ruisseau d'Amadou au niveau d'Ayguesvives,2021-01-21,1350,Phosphore total,0.04,mg(P)/L,1.599996657,43.441218713
05157561,Le Nostre Seigne à Montgiscard (Aval STEP),2021-01-21,1340,Nitrates,46.0,mg(NO3)/L,1.590440963,43.456751532
05163910,Le Cossignol à Corronsac,2021-01-21,1350,Phosphore total,0.01,mg(P)/L,1.49972711,43.470921033
05163860,Le Cossignol à Lacroix-Falgarde,2021-01-21,1302,Potentiel en Hydrogène (pH),8.3,unité pH,1.424421606,43.499728369
05157568,Le ruisseau d'Amadou au niveau d'Ayguesvives,2021-01-21,1303,Conductivité à 25°C,865.0,µS/cm,1.599996657,43.441218713
05157565,L'Amadou à Ayguesvives,2021-01-21,1350,Phosphore total,0.09,mg(P)/L,1.594239624,43.454461351
05163860,Le Cossignol à Lacroix-Falgarde,2021-01-21,1350,Phosphore total,0.08,mg(P)/L,1.424421606,43.499728369
05163860,Le Cossignol à Lacroix-Falgarde,2021-01-21,1303,Conductivité à 25°C,940.0,µS/cm,1.424421606,43.499728369
05163910,Le Cossignol à Corronsac,2021-01-21,1302,Potentiel en Hydrogène (pH),8.1,unité pH,1.49972711,43.470921033
05157561,Le Nostre Seigne à Montgiscard (Aval STEP),2021-01-21,1302,Potentiel en Hydrogène (pH),8.1,unité pH,1.590440963,43.456751532
05157570,L'Amadou à Ayguevives,2021-01-21,1302,Potentiel en Hydrogène (pH),8.3,unité pH,1.597644467,43.437409124
05157561,Le Nostre Seigne à Montgiscard (Aval STEP),2021-01-21,1301,Température de l'Eau,9.0,°C,1.590440963,43.456751532
05163862,Le Cossignol au niveau de Lacroix-Falgarde,2021-01-21,1303,Conductivité à 25°C,928.0,µS/cm,1.435123729,43.493944135
05157561,Le Nostre Seigne à Montgiscard (Aval STEP),2021-01-21,1303,Conductivité à 25°C,946.0,µS/cm,1.590440963,43.456751532
05157562,Le Nostre Seigne à Montgiscard (Amont STEP),2021-01-21,1340,Nitrates,54.0,mg(NO3)/L,1.589775497,43.4546733
05163905,Le Cossignol au niveau de Corronsac,2021-01-21,1302,Potentiel en Hydrogène (pH),8.2,unité pH,1.483661529,43.473397051
05157610,Le ruisseau de Visenc à Labastide Beauvoir,2021-01-21,1301,Température de l'Eau,8.0,°C,1.667254364,43.470770461
05157570,L'Amadou à Ayguevives,2021-01-21,1340,Nitrates,30.0,mg(NO3)/L,1.597644467,43.437409124
05157610,Le ruisseau de Visenc à Labastide Beauvoir,2021-01-21,1350,Phosphore total,0.05,mg(P)/L,1.667254364,43.470770461
05157568,Le ruisseau d'Amadou au niveau d'Ayguesvives,2021-01-21,1301,Température de l'Eau,8.0,°C,1.599996657,43.441218713
05157610,Le ruisseau de Visenc à Labastide Beauvoir,2021-01-21,1340,Nitrates,32.0,mg(NO3)/L,1.667254364,43.470770461
05157607,Le ruisseau de Visenc à Labastide-beauvoir (aval STEP),2021-01-21,1350,Phosphore total,0.56,mg(P)/L,1.664584926,43.469207935
05157565,L'Amadou à Ayguesvives,2021-01-21,1301,Température de l'Eau,8.0,°C,1.594239624,43.454461351
05157565,L'Amadou à Ayguesvives,2021-01-21,1303,Conductivité à 25°C,883.0,µS/cm,1.594239624,43.454461351
05157562,Le Nostre Seigne à Montgiscard (Amont STEP),2021-01-21,1301,Température de l'Eau,9.0,°C,1.589775497,43.4546733
05163910,Le Cossignol à Corronsac,2021-01-21,1303,Conductivité à 25°C,892.0,µS/cm,1.49972711,43.470921033
05157607,Le ruisseau de Visenc à Labastide-beauvoir (aval STEP),2021-01-21,1340,Nitrates,32.0,mg(NO3)/L,1.664584926,43.469207935
05163862,Le Cossignol au niveau de Lacroix-Falgarde,2021-01-21,1350,Phosphore total,0.1,mg(P)/L,1.435123729,43.493944135
05157610,Le ruisseau de Visenc à Labastide Beauvoir,2021-01-21,1303,Conductivité à 25°C,809.0,µS/cm,1.667254364,43.470770461
05163905,Le Cossignol au niveau de Corronsac,2021-01-21,1350,Phosphore total,0.29,mg(P)/L,1.483661529,43.473397051
BF000320,PERIPHERIE SUD SUD EST,2021-01-21,1340,Nitrates,6.4,mg/L,1.436721106,43.522925386
BF000320,PERIPHERIE SUD SUD EST,2021-01-21,1303,Conductivité à 25°C,300.0,µS/cm,1.436721106,43.522925386
05157570,L'Amadou à Ayguevives,2021-01-21,1303,Conductivité à 25°C,871.0,µS/cm,1.597644467,43.437409124
05163862,Le Cossignol au niveau de Lacroix-Falgarde,2021-01-21,1302,Potentiel en Hydrogène (pH),8.4,unité pH,1.435123729,43.493944135
05163905,Le Cossignol au niveau de Corronsac,2021-01-21,1301,Température de l'Eau,9.0,°C,1.483661529,43.473397051
05163905,Le Cossignol au niveau de Corronsac,2021-01-21,1340,Nitrates,31.0,mg(NO3)/L,1.483661529,43.473397051
05157562,Le Nostre Seigne à Montgiscard (Amont STEP),2021-01-21,1302,Potentiel en Hydrogène (pH),8.4,unité pH,1.589775497,43.4546733
05163862,Le Cossignol au niveau de Lacroix-Falgarde,2021-01-21,1340,Nitrates,25.0,mg(NO3)/L,1.435123729,43.493944135
05163910,Le Cossignol à Corronsac,2021-01-21,1340,Nitrates,24.0,mg(NO3)/L,1.49972711,43.470921033
05157565,L'Amadou à Ayguesvives,2021-01-21,1340,Nitrates,24.0,mg(NO3)/L,1.594239624,43.454461351
05163860,Le Cossignol à Lacroix-Falgarde,2021-01-21,1301,Température de l'Eau,9.0,°C,1.424421606,43.499728369
05163905,Le Cossignol au niveau de Corronsac,2021-01-21,1303,Conductivité à 25°C,904.0,µS/cm,1.483661529,43.473397051
05157561,Le Nostre Seigne à Montgiscard (Aval STEP),2021-01-21,1350,Phosphore total,0.03,mg(P)/L,1.590440963,43.456751532
05157570,L'Amadou à Ayguevives,2021-01-21,1301,Température de l'Eau,9.0,°C,1.597644467,43.437409124
05157565,L'Amadou à Ayguesvives,2021-01-21,1302,Potentiel en Hydrogène (pH),8.3,unité pH,1.594239624,43.454461351
05157562,Le Nostre Seigne à Montgiscard (Amont STEP),2021-01-21,1303,Conductivité à 25°C,908.0,µS/cm,1.589775497,43.4546733
