eventDate,scientificName,family,order,decimalLatitude,decimalLongitude,waterBody
2023-03-21,Animalia,,,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,"Cloeon Leach, 1815",Baetidae,Ephemeroptera,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-04-17,Lumbricidae,Lumbricidae,Crassiclitellata,51.38693,4.79044,Meuse river basin;BEVL_L217_5231
2023-04-17,Ephydridae,Ephydridae,Diptera,51.38693,4.79044,Meuse river basin;BEVL_L217_5231
2023-04-17,Dytiscidae,Dytiscidae,Coleoptera,51.38693,4.79044,Meuse river basin;BEVL_L217_5231
2023-04-17,Stratiomyidae,Stratiomyidae,Diptera,51.42034,4.64944,Meuse river basin;SLUISKENSVIJVER;BEVL_L107_613
2023-04-17,"Glossiphonia Johnson, 1816",Glossiphoniidae,Rhynchobdellida,51.42034,4.64944,Meuse river basin;SLUISKENSVIJVER;BEVL_L107_613
2023-04-17,"Sigara Fabricius, 1775",Corixidae,Hemiptera,51.42034,4.64944,Meuse river basin;SLUISKENSVIJVER;BEVL_L107_613
2023-04-17,"Aplexa J.Fleming, 1820",Physidae,,51.42034,4.64944,Meuse river basin;SLUISKENSVIJVER;BEVL_L107_613
2023-04-17,"Pisidium C.Pfeiffer, 1821",Sphaeriidae,Sphaeriida,51.42034,4.64944,Meuse river basin;SLUISKENSVIJVER;BEVL_L107_613
2023-04-17,"Ischnura Charpentier, 1840",Coenagrionidae,Odonata,51.42034,4.64944,Meuse river basin;SLUISKENSVIJVER;BEVL_L107_613
2023-04-11,Simuliidae,Simuliidae,Diptera,51.34319,4.62103,Meuse river basin;WEERIJSEBEEK L1;BEVL_L107_614
2023-04-11,"Lymnaea Lamarck, 1799",Lymnaeidae,,51.34319,4.62103,Meuse river basin;WEERIJSEBEEK L1;BEVL_L107_614
2023-04-11,Tubificidae,Naididae,Tubificida,51.38305,4.61869,Meuse river basin;WEERIJSEBEEK L1;BEVL_L107_614
2023-04-11,Gammaridae,Gammaridae,Amphipoda,51.38305,4.61869,Meuse river basin;WEERIJSEBEEK L1;BEVL_L107_614
2023-04-11,"Hippeutis Charpentier, 1837",Planorbidae,,51.38305,4.61869,Meuse river basin;WEERIJSEBEEK L1;BEVL_L107_614
2023-04-11,"Baetis Leach, 1815",Baetidae,Ephemeroptera,51.38305,4.61869,Meuse river basin;WEERIJSEBEEK L1;BEVL_L107_614
2023-04-11,Limnephilidae,Limnephilidae,Trichoptera,51.38305,4.61869,Meuse river basin;WEERIJSEBEEK L1;BEVL_L107_614
2023-04-07,Chironomidae,Chironomidae,Diptera,51.36352,5.00242,Scheldt river basin;BEVL_L217_4711
2023-04-07,"Pisidium C.Pfeiffer, 1821",Sphaeriidae,Sphaeriida,51.36352,5.00242,Scheldt river basin;BEVL_L217_4711
2023-04-13,Tubificidae,Naididae,Tubificida,51.06571,4.75892,Scheldt river basin;BERGEBEEK;BEVL_L107_740
2023-04-13,Ephydridae,Ephydridae,Diptera,51.06571,4.75892,Scheldt river basin;BERGEBEEK;BEVL_L107_740
2023-04-13,"Pisidium C.Pfeiffer, 1821",Sphaeriidae,Sphaeriida,51.06571,4.75892,Scheldt river basin;BERGEBEEK;BEVL_L107_740
2023-04-13,Animalia,,,51.06571,4.75892,Scheldt river basin;BERGEBEEK;BEVL_L107_740
2023-04-19,Varunidae,Varunidae,Decapoda,51.04081,4.12334,Scheldt river basin;ZEESCHELDE II;BEVL08_41
2023-04-13,Lumbricidae,Lumbricidae,Crassiclitellata,51.08282,4.93213,Scheldt river basin;VARENDONKSE BEEK;BEVL_L107_695
2023-04-13,Culicidae,Culicidae,Diptera,51.08282,4.93213,Scheldt river basin;VARENDONKSE BEEK;BEVL_L107_695
2023-04-13,"Menetus H.Adams & A.Adams, 1855",Planorbidae,,51.08282,4.93213,Scheldt river basin;VARENDONKSE BEEK;BEVL_L107_695
2023-04-13,Animalia,,,51.19656,4.91862,Scheldt river basin;LARUMSE LOOP;BEVL_L107_654
2023-04-13,"Erpobdella Lamarck, 1818",Erpobdellidae,Arhynchobdellida,51.19656,4.91862,Scheldt river basin;LARUMSE LOOP;BEVL_L107_654
2023-04-13,Animalia,,,51.19656,4.91862,Scheldt river basin;LARUMSE LOOP;BEVL_L107_654
2023-04-13,"Gyraulus Charpentier, 1837",Planorbidae,,51.19656,4.91862,Scheldt river basin;LARUMSE LOOP;BEVL_L107_654
2023-04-13,"Planorbis O.F.Müller, 1773",Planorbidae,,51.19656,4.91862,Scheldt river basin;LARUMSE LOOP;BEVL_L107_654
2023-04-13,"Pyrrhosoma Charpentier, 1840",Coenagrionidae,Odonata,51.19656,4.91862,Scheldt river basin;LARUMSE LOOP;BEVL_L107_654
2023-04-13,Animalia,,,51.19656,4.91862,Scheldt river basin;LARUMSE LOOP;BEVL_L107_654
2023-04-19,Animalia,,,51.14311,4.33057,Scheldt river basin;ZEESCHELDE III + RUPEL;BEVL17_42
2023-04-13,Ceratopogonidae,Ceratopogonidae,Diptera,51.08252,4.98657,Scheldt river basin;KLEINE LAAK;BEVL_L111_1095
2023-04-13,Hydrophilidae,Hydrophilidae,Coleoptera,51.08252,4.98657,Scheldt river basin;KLEINE LAAK;BEVL_L111_1095
2023-04-13,Asellidae,Asellidae,Isopoda,51.08252,4.98657,Scheldt river basin;KLEINE LAAK;BEVL_L111_1095
2023-04-13,"Cloeon Leach, 1815",Baetidae,Ephemeroptera,51.08252,4.98657,Scheldt river basin;KLEINE LAAK;BEVL_L111_1095
2023-04-13,Copepoda,,,51.08252,4.98657,Scheldt river basin;KLEINE LAAK;BEVL_L111_1095
2023-04-11,Tubificidae,Naididae,Tubificida,51.46276,4.42493,Meuse river basin;SPILLEBEEK;BEVL_L107_741
2023-04-11,Dytiscidae,Dytiscidae,Coleoptera,51.46276,4.42493,Meuse river basin;SPILLEBEEK;BEVL_L107_741
2023-04-11,"Lymnaea Lamarck, 1799",Lymnaeidae,,51.46276,4.42493,Meuse river basin;SPILLEBEEK;BEVL_L107_741
2023-04-13,Lumbriculidae,Lumbriculidae,Lumbriculida,51.10905,4.74525,Scheldt river basin;GOORLOOP;BEVL_L111_1071
2023-04-13,Psychodidae,Psychodidae,Diptera,51.10905,4.74525,Scheldt river basin;GOORLOOP;BEVL_L111_1071
2023-04-07,Naididae,Naididae,Tubificida,51.3603,4.99547,Scheldt river basin;BEVL_L217_4711
2023-04-07,Chironomidae,Chironomidae,Diptera,51.3603,4.99547,Scheldt river basin;BEVL_L217_4711
2023-04-07,Dytiscidae,Dytiscidae,Coleoptera,51.3603,4.99547,Scheldt river basin;BEVL_L217_4711
2023-04-07,Asellidae,Asellidae,Isopoda,51.3603,4.99547,Scheldt river basin;BEVL_L217_4711
2023-04-07,Limnephilidae,Limnephilidae,Trichoptera,51.3603,4.99547,Scheldt river basin;BEVL_L217_4711
2023-04-14,Naididae,Naididae,Tubificida,51.17043,4.66932,Scheldt river basin;KREKELBEEK;BEVL_L117_659
2023-04-14,Limoniidae,Limoniidae,Diptera,51.17043,4.66932,Scheldt river basin;KREKELBEEK;BEVL_L117_659
2023-04-14,"Menetus H.Adams & A.Adams, 1855",Planorbidae,,51.17043,4.66932,Scheldt river basin;KREKELBEEK;BEVL_L117_659
2023-04-14,Animalia,,,51.17043,4.66932,Scheldt river basin;KREKELBEEK;BEVL_L117_659
2023-04-20,Chironomidae,Chironomidae,Diptera,51.41685,4.64253,Meuse river basin;WEHAGENBEEK;BEVL_L111_1050
2023-04-20,Gammaridae,Gammaridae,Amphipoda,51.41685,4.64253,Meuse river basin;WEHAGENBEEK;BEVL_L111_1050
2023-04-20,"Anax Leach, 1815",Aeshnidae,Odonata,51.41685,4.64253,Meuse river basin;WEHAGENBEEK;BEVL_L111_1050
2023-04-14,Ceratopogonidae,Ceratopogonidae,Diptera,51.1761,4.66957,Scheldt river basin;KREKELBEEK;BEVL_L117_659
2023-04-14,"Sigara Fabricius, 1775",Corixidae,Hemiptera,51.1761,4.66957,Scheldt river basin;KREKELBEEK;BEVL_L117_659
2023-04-14,"Lymnaea Lamarck, 1799",Lymnaeidae,,51.1761,4.66957,Scheldt river basin;KREKELBEEK;BEVL_L117_659
2023-04-14,Ostracoda,,,51.1761,4.66957,Scheldt river basin;KREKELBEEK;BEVL_L117_659
2023-04-17,Lumbriculidae,Lumbriculidae,Lumbriculida,51.34843,4.61431,Meuse river basin;WEERIJSEBEEK L1;BEVL_L107_614
2023-04-17,"Glossiphonia Johnson, 1816",Glossiphoniidae,Rhynchobdellida,51.34843,4.61431,Meuse river basin;WEERIJSEBEEK L1;BEVL_L107_614
2023-04-17,"Nepa Linnaeus, 1758",Nepidae,Hemiptera,51.34843,4.61431,Meuse river basin;WEERIJSEBEEK L1;BEVL_L107_614
2023-04-17,"Planorbis O.F.Müller, 1773",Planorbidae,,51.34843,4.61431,Meuse river basin;WEERIJSEBEEK L1;BEVL_L107_614
2023-04-07,Chironomidae,Chironomidae,Diptera,51.2932,4.91077,Scheldt river basin;VISBEEK;BEVL_L111_639
2023-04-07,"Theromyzon Philippi, 1867",Glossiphoniidae,Rhynchobdellida,51.2932,4.91077,Scheldt river basin;VISBEEK;BEVL_L111_639
2023-04-07,"Lymnaea Lamarck, 1799",Lymnaeidae,,51.2932,4.91077,Scheldt river basin;VISBEEK;BEVL_L111_639
2023-04-07,"Nemoura Latreille, 1796",Nemouridae,Plecoptera,51.2932,4.91077,Scheldt river basin;VISBEEK;BEVL_L111_639
